"Specification","AR1","AR2","Drift","Sigma2","LogLik","AIC","AICc","BIC"
"ARIMA(2,1,0) without drift",0.333585,-0.663507,NA,269.639095,-256.850328,519.700657,520.121709,526.033278
"ARIMA(2,1,0) with drift",0.282589,-0.709914,4.458734,234.675492,-252.207296,512.414592,513.128878,520.858087
