"Model","AIC","AICc","BIC"
"ARIMA(2,1,0)",519.700656775795,520.121709407374,526.033278368315
"ARIMA(2,1,1)",521.447819689347,522.162105403633,529.891315146041
"ARIMA(2,1,2)",523.172232154553,524.263141245462,533.72660147542
