"Year","Point_Forecast","Lo_80","Hi_80","Lo_95","Hi_95","Lo_99_5","Hi_99_5"
2013,312.118825140175,291.07486278984,333.16278749051,279.934862038273,344.302788242077,266.025390802211,358.212259478139
2014,300.073765133162,264.99625470668,335.151275559643,246.427342350309,353.720187916014,223.242087872696,376.905442393627
2015,316.014781778505,277.274632988824,354.754930568186,256.766837002104,375.262726554906,231.16068088473,400.86888267228
2016,329.324450117252,289.785321416723,368.863578817781,268.854571013948,389.794329220556,242.720311495555,415.928588738949
2017,323.187381983071,281.636561624801,364.738202341341,259.640885985701,386.73387798044,232.176954479526,414.197809486615
